ICB Sub location,GP_ODS_CODE,GP_NAME,GP_GPAD_SYSTEMS,GP_SYSTEM
91Q,G82691,LANGLEY,EMIS,EMIS
91Q,G82693,MEMORIAL MEDICAL CENTRE,EMIS,EMIS
91Q,G82696,THE NEW GOLF ROAD SURGERY,EMIS,EMIS
91Q,G82697,THE CHURCHILL CLINIC,EMIS,EMIS
91Q,G82698,THE MEDIC CARE SURGERY,EMIS,EMIS
91Q,G82700,BUCKLAND MEDICAL PRACTICE,EMIS,EMIS
91Q,G82702,GREEN PORCH MEDICAL PARTNERSHIP,EMIS,EMIS
91Q,G82708,MARLOWE PARK MEDICAL CTR.,EMIS,EMIS
91Q,G82711,BORSTAL VILLAGE SURGERY,EMIS,EMIS
91Q,G82719,MATRIX MEDICAL PRACTICE,EMIS,EMIS
91Q,G82721,PARKWOOD FAMILY PRACTICE,EMIS,EMIS
91Q,G82729,WHITE CLIFFS MEDICAL CENTRE,EMIS,EMIS
91Q,G82730,KINGSNORTH MEDICAL PRACTICE,EMIS,EMIS
91Q,G82733,ORCHARD END,EMIS,EMIS
91Q,G82737,LONG CATLIS ROAD SURGERY,EMIS,EMIS
91Q,G82741,PRINCES PARK MEDICAL CTR,EMIS,EMIS
91Q,G82744,MARITIME HEALTH PARTNERSHIP,EMIS,EMIS
91Q,G82753,THE KINGS FAMILY PRACTICE,EMIS,EMIS
91Q,G82754,HADLOW MEDICAL CENTRE,EMIS,EMIS
91Q,G82763,NAPIER ROAD SURGERY,EMIS,EMIS
91Q,G82768,LONSDALE MEDICAL CENTRE,EMIS,EMIS
91Q,G82780,GRAVESEND MEDICAL CENTRE,EMIS,EMIS
91Q,G82790,OLD SCHOOL SURGERY,EMIS,EMIS
91Q,G82796,BROADSTAIRS MEDICAL PRACTICE,EMIS,EMIS
91Q,G82799,SHEPPEY HEALTHY LIVING CENTRE,EMIS,EMIS
91Q,G82802,CANTERBURY HEALTH CENTRE,EMIS,EMIS
91Q,G82808,"OAKFIELD HEALTH CENTRE, PRACTICE 2",EMIS,EMIS
91Q,G82888,SOUTH PARK MEDICAL PRACTICE,EMIS,EMIS
72Q,G83001,MANOR BROOK PMS,EMIS,EMIS
72Q,G83002,THE WESTWOOD SURGERY,EMIS,EMIS
72Q,G83004,BARNARD MEDICAL GROUP,EMIS,EMIS
72Q,G83006,THE ALBION SURGERY,EMIS,EMIS
72Q,G83009,BELLEGROVE SURGERY,EMIS,EMIS
72Q,G83010,NORTHUMBERLAND HEATH MED.CTR.,EMIS,EMIS
72Q,G83012,GALLIONS REACH HEALTH CENTRE,EMIS,EMIS
72Q,G83013,BLACKHEATH STANDARD PMS,EMIS,EMIS
72Q,G83015,ELTHAM PALACE PMS,EMIS,EMIS
72Q,G83016,ROYAL ARSENAL MEDICAL CENTRE,EMIS,EMIS
72Q,G83018,LAKESIDE MEDICAL,EMIS,EMIS
72Q,G83019,PLUMSTEAD H/C PMS,EMIS,EMIS
72Q,G83021,VANBRUGH GROUP PRACTICE,EMIS,EMIS
72Q,G83024,INGLETON AVENUE SURGERY,MEDICUS,MEDICUS
72Q,G83025,WELLING MEDICAL PRACTICE,EMIS,EMIS
72Q,G83026,TRIVENI PMS,EMIS,EMIS
72Q,G83027,EVEREST HEALTH PARTNERSHIP,EMIS,EMIS
72Q,G83028,BEXLEY GROUP PRACTICE,EMIS,EMIS
72Q,G83029,PLAS MEDDYG SURGERY,EMIS,EMIS
72Q,G83030,ALL SAINTS MEDICAL CENTRE PMS,EMIS,EMIS
72Q,G83031,ABBEY WOOD SURGERY,EMIS,EMIS
72Q,G83033,DR DAVIES & PARTNER,EMIS,EMIS
72Q,G83039,ST MARKS PMS,EMIS,EMIS
72Q,G83044,FAIRFIELD PMS,EMIS,EMIS
72Q,G83046,BURSTED WOOD SURGERY,EMIS,EMIS
72Q,G83049,LYNDHURST ROAD MEDICAL CENTRE,EMIS,EMIS
72Q,G83052,BELVEDERE MEDICAL CENTRE,EMIS,EMIS
72Q,G83053,BEXLEY MEDICAL GROUP,EMIS,EMIS
72Q,G83057,WOODLANDS SURGERY,EMIS,EMIS
72Q,G83058,PRIMECARE PMS (SOUTH STREET),EMIS,EMIS
72Q,G83060,GLYNDON PMS,EMIS,EMIS
72Q,G83062,SLADE GREEN MEDICAL CTR.,EMIS,EMIS
72Q,G83065,BURNEY STREET PMS,EMIS,EMIS
72Q,G83066,SIDCUP MEDICAL CENTRE,EMIS,EMIS
72Q,G83067,VALENTINE HEALTH PARTNERSHIP,EMIS,EMIS
72Q,G83628,NEW ELTHAM AND BLACKFEN MEDICAL CENTRE,EMIS,EMIS
72Q,G83630,RIVERSIDE SURGERY,EMIS,EMIS
72Q,G83631,ABBEYSLADE PMS (DR CHAND),EMIS,EMIS
72Q,G83633,CONWAY PMS,EMIS,EMIS
72Q,G83635,WAVERLEY PMS,EMIS,EMIS
72Q,G83641,PLUMBRIDGE MEDICAL CENTRE,EMIS,EMIS
72Q,G83642,CRAYFORD TOWN SURGERY,EMIS,EMIS
72Q,G83647,PLUMSTEAD AND WICKHAM LANE SURGERY,EMIS,EMIS
72Q,G83651,WOODLANDS SURGERY,EMIS,EMIS
72Q,G83654,BANNOCKBURN SURGERY,EMIS,EMIS
72Q,G83673,ELMSTEAD MEDICAL CLINIC,EMIS,EMIS
72Q,G83680,ELTHAM MEDICAL PRACTICE,EMIS,EMIS
72Q,G84001,SOUTH VIEW PARTNERSHIP,EMIS,EMIS
72Q,G84002,DYSART SURGERY,EMIS,EMIS
72Q,G84003,LINKS MEDICAL PRACTICE,EMIS,EMIS
72Q,G84004,STOCK HILL SURGERY,EMIS,EMIS
72Q,G84005,DERRY DOWNS SURGERY,EMIS,EMIS
72Q,G84006,SUMMERCROFT SURGERY,EMIS,EMIS
72Q,G84007,POVEREST MEDICAL CENTRE,EMIS,EMIS
72Q,G84008,MANOR ROAD SURGERY,EMIS,EMIS
72Q,G84009,FAMILY SURGERY,EMIS,EMIS
72Q,G84010,THE CHISLEHURST PARTNERSHIP,EMIS,EMIS
72Q,G84011,EDEN PARK SURGERY,EMIS,EMIS
72Q,G84013,ST MARY CRAY PRACTICE,EMIS,EMIS
72Q,G84015,STATION ROAD SURGERY,EMIS,EMIS
72Q,G84016,LONDON LANE CLINIC,EMIS,EMIS
72Q,G84017,ADDINGTON ROAD SURGERY,EMIS,EMIS
72Q,G84018,CORNERWAYS SURGERY,EMIS,EMIS
72Q,G84019,BROOMWOOD HEALTH CENTRE,EMIS,EMIS
72Q,G84020,CHELSFIELD SURGERY,EMIS,EMIS
72Q,G84023,SOUTHBOROUGH LANE SURGERY,EMIS,EMIS
72Q,G84024,BROMLEY COMMON PRACTICE,EMIS,EMIS
72Q,G84025,THE PARK PRACTICE,EMIS,EMIS
72Q,G84027,ELM HOUSE SURGERY,EMIS,EMIS
72Q,G84028,ST JAMES' PRACTICE,EMIS,EMIS
72Q,G84029,ROBIN HOOD SURGERY,EMIS,EMIS
72Q,G84030,FORGE CLOSE SURGERY,EMIS,EMIS
72Q,G84032,KNOLL MEDICAL PRACTICE,EMIS,EMIS
72Q,G84033,PICKHURST SURGERY,EMIS,EMIS
72Q,G84035,TUDOR WAY SURGERY,EMIS,EMIS
72Q,G84039,NORHEADS LANE SURGERY,EMIS,EMIS
72Q,G84040,BALLATER SURGERY,EMIS,EMIS
72Q,G84041,GILLMANS ROAD SURGERY,EMIS,EMIS
72Q,G84604,HIGHLAND ROAD SURGERY,EMIS,EMIS
72Q,G84607,WICKHAM PARK SURGERY,EMIS,EMIS
72Q,G84609,BANK HOUSE SURGERY,EMIS,EMIS
72Q,G84621,WHITEHOUSE SURGERY,EMIS,EMIS
72Q,G84624,ANERLEY SURGERY,EMIS,EMIS
72Q,G84625,OAKFIELD SURGERY,EMIS,EMIS
72Q,G84627,GREEN STREET GREEN MED CT,EMIS,EMIS
72Q,G84629,SUNDRIDGE MEDICAL CENTRE,EMIS,EMIS
72Q,G84630,CRESCENT SURGERY,EMIS,EMIS
72Q,G85001,FOREST HILL GROUP PRACTICE,EMIS,EMIS
72Q,G85002,STREATHAM HIGH PRACTICE,EMIS/EVERGREENLIFE,EMIS
72Q,G85004,MODALITY LEWISHAM (ML),EMIS,EMIS
72Q,G85006,THE ACORN & GAUMONT HOUSE SURGERY,EMIS,EMIS
72Q,G85011,CLAPHAM FAMILY PRACTICE,EMIS,EMIS
72Q,G85013,CAMBERWELL GREEN SURGERY,EMIS,EMIS
72Q,G85014,STREATHAM COMMON PRACTICE,EMIS,EMIS
72Q,G85015,THE QRP SURGERY,EMIS,EMIS
72Q,G85016,HERNE HILL GROUP PRACTICE,EMIS,EMIS
72Q,G85019,TRAFALGAR SURGERY,EMIS,EMIS
72Q,G85021,PRENTIS MEDICAL CENTRE,EMIS,EMIS
72Q,G85022,NORTH WOOD GROUP PRACTICE,EMIS,EMIS
72Q,G85023,LEWISHAM MEDICAL CENTRE,EMIS,EMIS
72Q,G85024,SYDENHAM GREEN GROUP PRACTICE,EMIS,EMIS
72Q,G85025,BRIXTON HILL GROUP PRACTICE,EMIS,EMIS
72Q,G85026,CLIFTON RISE FAMILY PRACTICE,EMIS,EMIS
72Q,G85028,STOCKWELL GROUP PRACTICE,EMIS,EMIS
72Q,G85029,FALMOUTH ROAD GROUP PRACTICE,EMIS/EVERGREENLIFE,EMIS
72Q,G85030,PARKSIDE MEDICAL CENTRE,EMIS/EVERGREENLIFE,EMIS
72Q,G85031,DMC CHADWICK ROAD,EMIS,EMIS
72Q,G85032,TORRIDON ROAD MEDICAL PRACTICE,EMIS,EMIS
72Q,G85034,NEXUS HEALTH GROUP,EMIS,EMIS
72Q,G85038,THE LEWISHAM CARE PARTNERSHIP,EMIS,EMIS
72Q,G85039,PAXTON GREEN GROUP PRACTICE,EMIS,EMIS
72Q,G85040,QUEENS ROAD SURGERY,EMIS,EMIS
72Q,G85041,PALACE ROAD SURGERY,EMIS,EMIS
72Q,G85042,ST GILES SURGERY,EMIS,EMIS
72Q,G85044,VALLEY ROAD SURGERY,EMIS,EMIS
72Q,G85045,HETHERINGTON GROUP PRACTICE,EMIS,EMIS
72Q,G85046,LEE ROAD SURGERY,EMIS,EMIS
72Q,G85051,ELM LODGE SURGERY,EMIS,EMIS
72Q,G85052,OLD KENT ROAD SURGERY,EMIS,EMIS
72Q,G85053,HURLEY AND RIVERSIDE PRACTICES,EMIS,EMIS
72Q,G85054,LAMBETH WALK GROUP PRACTICE,EMIS,EMIS
72Q,G85057,ASHDOWN MEDICAL GROUP,EMIS,EMIS
72Q,G85061,WOOLSTONE MEDICAL CENTRE,EMIS,EMIS
72Q,G85073,VASSALL MEDICAL CENTRE,EMIS,EMIS
72Q,G85076,NEW CROSS CENTRE (HURLEY GROUP),EMIS,EMIS
72Q,G85083,SANDMERE PRACTICE,EMIS,EMIS
72Q,G85084,PENROSE SURGERY,EMIS,EMIS
72Q,G85085,GROVE MEDICAL CENTRE,EMIS,EMIS
72Q,G85086,THE SOUTH LAMBETH RD PRACTICE,EMIS,EMIS
72Q,G85087,SILVERLOCK MEDICAL CENTRE,EMIS/EVERGREENLIFE,EMIS
72Q,G85091,THE THREE ZERO SIX MEDICAL CENTRE,EMIS,EMIS
72Q,G85096,THE VALE SURGERY,EMIS,EMIS
72Q,G85100,BECKETT HOUSE PRACTICE,EMIS,EMIS
72Q,G85102,GRAY'S INN MEDICAL GROUP VAUXHALL,EMIS,EMIS
72Q,G85104,ICO HEALTH GROUP,EMIS,EMIS
72Q,G85105,VESTA ROAD SURGERY,EMIS,EMIS
72Q,G85109,CLAPHAM PARK GROUP PRACTICE,EMIS,EMIS
72Q,G85114,WELLS PARK PRACTICE,EMIS,EMIS
72Q,G85119,STERNHALL LANE SURGERY,EMIS,EMIS
72Q,G85120,TRIANGLE GROUP PRACTICE,EMIS,EMIS
72Q,G85121,PARKVIEW SURGERY,EMIS,EMIS
72Q,G85123,BINFIELD ROAD SURGERY,EMIS,EMIS
72Q,G85125,PARK MEDICAL CENTRE,EMIS,EMIS
72Q,G85127,THE CORNER SURGERY,EMIS,EMIS
72Q,G85129,THE DEERBROOK SURGERY,EMIS,EMIS
72Q,G85130,MAWBEY GROUP PRACTICE,EMIS,EMIS
72Q,G85132,TESSA JOWELL GP SURGERY,EMIS/EVERGREENLIFE,EMIS
72Q,G85134,THE LISTER PRIMARY CARE CENTRE,EMIS,EMIS
72Q,G85135,MINET GREEN HEALTH PRACTICE,EMIS,EMIS
72Q,G85136,WATERLOO HEALTH CENTRE,EMIS,EMIS
72Q,G85137,BROCKWELL PARK SURGERY,EMIS,EMIS
72Q,G85138,ALBION STREET GROUP PRACTICE,EMIS,EMIS
72Q,G85623,BERMONDSEY SPA MEDICAL CENTRE,EMIS,EMIS
72Q,G85632,THE VILLA STREET MEDICAL CENTRE,EMIS,EMIS
72Q,G85633,NOVUM HEALTH PARTNERSHIP,EMIS,EMIS
72Q,G85642,BLACKFRIARS MEDICAL PRACTICE,EMIS,EMIS
72Q,G85644,THE GARDENS SURGERY,EMIS,EMIS
72Q,G85647,THE EXCHANGE SURGERY,EMIS,EMIS
72Q,G85651,THE DULWICH MEDICAL CENTRE,EMIS,EMIS
72Q,G85662,THE STREATHAM HILL GROUP PRACTICE,EMIS,EMIS
72Q,G85673,SPRINGFIELD MEDICAL CENTRE,EMIS,EMIS
72Q,G85674,GRAFTON SQUARE SURGERY,EMIS,EMIS
72Q,G85681,THE LORDSHIP LANE SURGERY,EMIS,EMIS
72Q,G85685,THE NUNHEAD SURGERY,EMIS,EMIS
72Q,G85690,HERNE HILL ROAD MEDICAL PRACTICE,EMIS,EMIS
72Q,G85695,AKERMAN MEDICAL PRACTICE,EMIS,EMIS
72Q,G85696,VALE MEDICAL CENTRE,EMIS,EMIS
72Q,G85698,AMERSHAM VALE TRAINING PRACTICE,EMIS,EMIS
72Q,G85705,THE NEW MILL STREET SURGERY,EMIS,EMIS
72Q,G85706,THE OLD DAIRY HEALTH CENTRE,EMIS,EMIS
72Q,G85708,DR CURRAN & PARTNERS,EMIS,EMIS
72Q,G85711,DEPTFORD SURGERY,EMIS,EMIS
72Q,G85715,THE LISTER PRACTICE,EMIS,EMIS
72Q,G85716,OAKVIEW FAMILY PRACTICE,EMIS,EMIS
72Q,G85721,EAST STREET,EMIS,EMIS
72Q,G85722,WOODLANDS HEALTH CENTRE,EMIS,EMIS
72Q,G85724,EDITH CAVELL PRACTICE,EMIS/EVERGREENLIFE,EMIS
72Q,G85726,BRUNSWICK PARK FAMILY PRACTICE,EMIS,EMIS
72Q,G85727,NIGHTINGALE SURGERY,EMIS,EMIS
72Q,G85736,DEPTFORD MEDICAL CENTRE,EMIS,EMIS
92A,H81002,KNOWLE GREEN MEDICAL,EMIS,EMIS
92A,H81003,SUNBURY GROUP PRACTICE,EMIS,EMIS
92A,H81004,SHEPPERTON MEDICAL PRACTICE,EMIS,EMIS
92A,H81005,POND TAIL SURGERY,TPP,TPP
92A,H81006,AUSTEN ROAD SURGERY,EMIS,EMIS
92A,H81009,STUDHOLME MEDICAL CENTRE,EMIS,EMIS
92A,H81010,GUILDOWNS GROUP PRACTICE,EMIS,EMIS
92A,H81011,NORK CLINIC,EMIS,EMIS
D4U1Y,H81013,BARTLETT GROUP PRACTICE,EMIS,EMIS
92A,H81015,CHOBHAM & WEST END MEDICAL PRACTICE,EMIS,EMIS
92A,H81016,FAIRFIELD MEDICAL CENTRE,EMIS,EMIS
92A,H81017,ASHLEA MEDICAL PRACTICE,EMIS,EMIS
92A,H81019,SUNNY MEED SURGERY,EMIS,EMIS
92A,H81020,FORT HOUSE SURGERY,EMIS,EMIS
92A,H81021,THE MILL MEDICAL PRACTICE,EMIS,EMIS
92A,H81022,CHIDDINGFOLD SURGERY,EMIS,EMIS
92A,H81023,LINGFIELD SURGERY,EMIS,EMIS
92A,H81024,GOLDSWORTH PARK HEALTH CENTRE,EMIS,EMIS
92A,H81025,ST JOHN'S FAMILY PRACTICE,EMIS,EMIS
92A,H81026,BINSCOMBE MEDICAL CENTRE,EMIS,EMIS
D4U1Y,H81027,FARNHAM PARK HEALTH GROUP,EMIS,EMIS
92A,H81028,DORKING MEDICAL PRACTICE,TPP,TPP
92A,H81029,DAPDUNE HOUSE SURGERY,EMIS,EMIS
92A,H81030,THE HOUSE PARTNERSHIP,EMIS,EMIS
92A,H81031,WITLEY SURGERY,MEDICUS,MEDICUS
92A,H81032,HEATHCOT MEDICAL PRACTICE,EMIS,EMIS
92A,H81033,CHERTSEY HEALTH CENTRE,EMIS,EMIS
92A,H81034,MADEIRA MEDICAL,EMIS,EMIS
92A,H81035,MERROW PARK SURGERY,EMIS,EMIS
92A,H81036,PARISHES BRIDGE MED.PRACT,EMIS,EMIS
92A,H81038,LITTLETON SURGERY,EMIS,EMIS
D4U1Y,H81039,PARK HOUSE SURGERY,EMIS,EMIS
D4U1Y,H81040,STATION ROAD SURGERY,EMIS,EMIS
92A,H81041,SOUTHVIEW MEDICAL PRACTICE,EMIS,EMIS
92A,H81042,CROUCH OAK FAMILY PRACTICE,EMIS,EMIS
92A,H81043,WONERSH SURGERY,EMIS,EMIS
92A,H81044,SPRINGFIELD SURGERY,EMIS,EMIS
92A,H81045,CATERHAM VALLEY MEDICAL PRACTICE,EMIS,EMIS
92A,H81046,WAYSIDE MEDICAL PRACTICE,EMIS,EMIS
D4U1Y,H81047,RUNNYMEDE MEDICAL PRACTICE,EMIS,EMIS
92A,H81048,HOLMHURST MEDICAL CENTRE,TPP,TPP
92A,H81050,WEY FAMILY PRACTICE,EMIS,EMIS
92A,H81051,DERBY MEDICAL CENTRE,EMIS,EMIS
92A,H81052,CRANLEIGH MEDICAL PRACTICE,EMIS,EMIS
92A,H81053,VILLAGES MEDICAL CTR,EMIS,EMIS
92A,H81055,HAWTHORNS SURGERY,EMIS,EMIS
92A,H81056,OXTED HEALTH CENTRE,EMIS,EMIS
92A,H81057,FORDBRIDGE MEDICAL CENTRE,EMIS,EMIS
92A,H81058,WOODLANDS ROAD MEDICAL CENTRE,EMIS,EMIS
92A,H81061,HILLVIEW MEDICAL CENTRE,EMIS,EMIS
92A,H81062,HASLEMERE HEALTH CENTRE,EMIS,EMIS
92A,H81064,FAIRLANDS MEDICAL PRACTICE,EMIS,EMIS
92A,H81065,HERSHAM SURGERY,EMIS,EMIS
92A,H81066,GROVE MEDICAL CENTRE,EMIS,EMIS
92A,H81067,COBHAM HEALTH CENTRE,EMIS,EMIS
92A,H81068,BROCKWOOD MEDICAL PRACTICE,TPP,TPP
D4U1Y,H81069,PARK ROAD GROUP PRACTICE,EMIS,EMIS
92A,H81070,HEATHCOTE MEDICAL CENTRE,EMIS,EMIS
92A,H81071,ASHLEY CENTRE SURGERY,EMIS,EMIS
92A,H81072,MEDWYN SURGERY,TPP,TPP
92A,H81073,PHOENIX FAMILY PRACTICE,EMIS,EMIS
92A,H81074,ST STEPHENS HOUSE SURGERY,EMIS,EMIS
D4U1Y,H81075,UPPER GORDON ROAD SURGERY,EMIS,EMIS
92A,H81076,GRAYSHOTT SURGERY,EMIS,EMIS
92A,H81077,SHERESURGERYANDDISPENSARY,EMIS,EMIS
92A,H81078,GLENLYN MEDICAL CENTRE,EMIS,EMIS
92A,H81080,LONGCROFT CLINIC,EMIS,EMIS
92A,H81081,TADWORTH MEDICAL CENTRE,EMIS,EMIS
D4U1Y,H81082,CAMBERLEY HEALTH CENTRE,EMIS,EMIS
92A,H81084,THE HORSLEY MEDICAL PRACTICE,EMIS,EMIS
92A,H81085,ST. LUKE'S SURGERY,EMIS,EMIS
92A,H81086,THORKHILL SURGERY,EMIS,EMIS
92A,H81087,ST DAVID'S FAMILY PRACTICE,EMIS,EMIS
D4U1Y,H81088,CENTRAL SURGERY,EMIS,EMIS
92A,H81089,THE WALL HOUSE SURGERY,EMIS,EMIS
92A,H81090,WOODBRIDGE HILL SURGERY,EMIS,EMIS
92A,H81091,SPRING STREET SURGERY,EMIS,EMIS
92A,H81094,THE RED PRACTICE WALTON,EMIS,EMIS
92A,H81095,THE YELLOW PRACTICE,EMIS,EMIS
92A,H81099,ESHER GREEN SURGERY,EMIS,EMIS
92A,H81103,EASTWICK PARK MED.PRACT.,EMIS,EMIS
92A,H81104,STANWELL ROAD SURGERY,EMIS,EMIS
92A,H81107,OXSHOTT MEDICAL PRACTICE,EMIS,EMIS
92A,H81109,CAPELFIELD SURGERY,EMIS,EMIS
D4U1Y,H81110,HOLLY TREE SURGERY,EMIS,EMIS
92A,H81111,VIRGINIA WATER MEDICAL PRACTICE,EMIS,EMIS
92A,H81113,LEITH HILL PRACTICE,TPP,TPP
92A,H81116,ELIZABETH HOUSE MEDICAL PRACTICE,EMIS,EMIS
92A,H81119,WARLINGHAM GREEN MED PRAC,EMIS,EMIS
92A,H81122,HYTHE MEDICAL CENTRE SURGERY,EMIS,EMIS
92A,H81123,SHEERWATER HEALTH CENTRE,EMIS,EMIS
92A,H81126,TATTENHAM HEALTH CENTRE,EMIS,EMIS
92A,H81128,VINE MEDICAL CENTRE,EMIS,EMIS
92A,H81129,PIRBRIGHT SURGERY,EMIS,EMIS
D4U1Y,H81130,LIGHTWATER SURGERY,EMIS,EMIS
92A,H81131,THE WHITE PRACTICE,EMIS,EMIS
92A,H81133,INTEGRATED CARE PARTNERSHIP - OCH,EMIS,EMIS
92A,H81134,STAINES HEALTH GROUP,EMIS,EMIS
D4U1Y,H81615,FARNHAM DENE MEDICAL PRACTICE,EMIS,EMIS
92A,H81618,MOLEBRIDGE PRACTICE,EMIS,EMIS
92A,H81632,THE ORCHARD SURGERY,EMIS,EMIS
92A,H81638,MODALITY EAST SURREY MEDICAL PRACTICE,EMIS,EMIS
92A,H81641,THE PRACTICE COLLEGE ROAD,EMIS,EMIS
92A,H81642,UPPER HALLIFORD MEDICAL CENTRE,EMIS,EMIS
92A,H81643,MAYBURY SURGERY,EMIS,EMIS
92A,H81644,FOUNTAIN PRACTICE,EMIS,EMIS
92A,H81656,SHADBOLT PARK HOUSE SURG,EMIS,EMIS
92A,H81658,NEW OTTERSHAW SURGERY,EMIS,EMIS
92A,H81663,ASHLEY MEDICAL PRACTICE,EMIS,EMIS
92A,H81672,LANTERN SURGERY,EMIS,EMIS
70F,H82003,MEADOWS SURGERY,EMIS,EMIS
70F,H82004,COWFOLD SURGERY,TPP,TPP
70F,H82005,CUCKFIELD MEDICAL CENTRE,TPP,TPP
70F,H82006,THE PETWORTH SURGERY,TPP,TPP
70F,H82007,WESTCOURT MEDICAL CENTRE,TPP,TPP
70F,H82009,ST. LAWRENCE SURGERY,EMIS,EMIS
70F,H82011,STRAND MEDICAL GROUP,TPP,TPP
70F,H82012,LEACROFT MEDICAL PRACTICE,TPP,TPP
70F,H82013,LANGLEY HOUSE SURGERY,TPP,TPP
70F,H82014,COPPICE SURGERY,TPP,TPP
70F,H82016,BERSTED GREEN SURGERY,TPP,TPP
70F,H82017,PARK SURGERY,TPP/EVERGREENLIFE,TPP
70F,H82020,BOGNOR MEDICAL CENTRE,TPP,TPP
70F,H82021,ARUNDEL SURGERY,TPP,TPP
70F,H82022,STEYNING HEALTH CENTRE,TPP,TPP
70F,H82023,ADUR HEALTH PARTNERSHIP,EMIS,EMIS
70F,H82025,WOODLANDS&CLERKLANDS PARTNERSHIP,TPP,TPP
70F,H82026,SAXONBROOK MEDICAL CENTRE,TPP,TPP
70F,H82027,RUDGWICK MEDICAL CENTRE,TPP,TPP
70F,H82028,THE COURTYARD SURGERY,TPP,TPP
70F,H82030,PULBOROUGH MEDICAL GROUP,TPP,TPP
70F,H82031,LOXWOOD SURGERY,TPP,TPP
70F,H82032,RIVERBANK MEDICAL CENTRE,TPP,TPP
70F,H82033,GOSSOPS GREEN MEDICAL CTR,TPP,TPP
70F,H82034,LIME TREE SURGERY,TPP,TPP
70F,H82035,LINDFIELD MEDICAL CENTRE,TPP,TPP
70F,H82036,ORCHARD SURGERY,TPP,TPP
70F,H82037,SELSEY MEDICAL PRACTICE,TPP,TPP
70F,H82038,FLANSHAM PARK HEALTH CENTRE,TPP,TPP
70F,H82039,PARK SURGERY,TPP,TPP
70F,H82040,MODALITY MID SUSSEX,EMIS,EMIS
70F,H82041,VICTORIA ROAD SURGERY,EMIS,EMIS
70F,H82042,CATHEDRAL MEDICAL GROUP,TPP,TPP
70F,H82043,GROVE HOUSE SURGERY,TPP,TPP
70F,H82044,DOLPHINS PRACTICE,TPP,TPP
70F,H82045,WORTHING MEDICAL GROUP,EMIS,EMIS
70F,H82046,BROADWATER MEDICAL CENTRE,TPP,TPP
70F,H82047,BRIDGE MEDICAL CENTRE,TPP,TPP
70F,H82048,AVISFORD MEDICAL GROUP,TPP,TPP
70F,H82049,PARKLANDS SURGERY,TPP,TPP
70F,H82050,IFIELD MEDICAL PRACTICE,EMIS,EMIS
70F,H82051,LAVANT ROAD SURGERY,TPP,TPP
70F,H82052,POUND HILL MEDICAL GROUP,EMIS,EMIS
70F,H82053,FURNACE GREEN SURGERY,EMIS,EMIS
70F,H82055,BILLINGSHURST SURGERY,TPP,TPP
70F,H82056,NEWTONS PRACTICE,EMIS,EMIS
70F,H82057,MID SUSSEX HEALTH CARE,TPP,TPP
70F,H82058,MAYWOOD HEALTH CARE CENTRE,TPP,TPP
70F,H82059,WILLOW GREEN SURGERY,TPP,TPP
70F,H82060,HENFIELD MEDICAL CENTRE,TPP,TPP
70F,H82061,SELDEN MEDICAL CENTRE,EMIS,EMIS
70F,H82063,MOATFIELD SURGERY,EMIS,EMIS
70F,H82064,SOUTHGATE MEDICAL GROUP,TPP,TPP
70F,H82065,BALL TREE SURGERY,EMIS,EMIS
70F,H82066,FITZALAN MEDICAL GROUP,TPP,TPP
70F,H82067,TANGMERE MEDICAL CENTRE,TPP,TPP
70F,H82070,GLEBE SURGERY,TPP,TPP
70F,H82072,SILVERDALE PRACTICE,EMIS,EMIS
70F,H82076,CORNERWAYS SURGERY,EMIS,EMIS
70F,H82077,THE CROFT SURGERY,TPP,TPP
70F,H82078,SOUTHBOURNE SURGERY,TPP,TPP
70F,H82084,BROW MEDICAL CENTRE,EMIS,EMIS
70F,H82087,BARN SURGERY,TPP,TPP
70F,H82088,BEWBUSH MEDICAL CENTRE,TPP,TPP
70F,H82089,RIVERSIDE MEDICAL PRACTICE,TPP,TPP
70F,H82091,NEW POND ROW SURGERY,EMIS,EMIS
70F,H82092,VILLAGE SURGERY,TPP,TPP
70F,H82095,WITTERINGS MEDICAL CENTRE,TPP,TPP
70F,H82096,THE ORCHARD SURGERY,EMIS,EMIS
70F,H82098,COACHMANS MEDICAL PRACTICE,TPP,TPP
70F,H82099,WEST MEADS SURGERY,TPP,TPP
70F,H82100,NORTHLANDS WOOD SURGERY,TPP,TPP
70F,H82615,OUSE VALLEY PRACTICE,TPP,TPP
70F,H82640,HOLBROOK SURGERY,TPP,TPP
36L,H83001,PORTLAND MEDICAL CENTRE,EMIS,EMIS
36L,H83004,FARLEY ROAD MEDICAL PRACTICE,EMIS,EMIS
36L,H83005,UPPER NORWOOD GROUP PRACTICE,EMIS,EMIS
36L,H83006,NEW ADDINGTON GROUP PRACTICE,EMIS,EMIS
36L,H83007,VIOLET LANE MEDICAL PRACTICE,EMIS,EMIS
36L,H83008,NORTHWAY ROAD SURGERY,EMIS,EMIS
36L,H83009,NORBURY MEDICAL PRACTICE,EMIS,EMIS
36L,H83010,SOUTH NORWOOD HILL MEDICAL CENTRE,EMIS,EMIS
36L,H83011,NORTH CROYDON MEDICAL CENTRE,EMIS,EMIS
36L,H83012,ST JAMES MEDICAL CENTRE,EMIS,EMIS
36L,H83013,OLD COULSDON MEDICAL PRACTICE,EMIS,EMIS
36L,H83014,QUEENHILL MEDICAL PRACTICE,EMIS,EMIS
